size: 599,949K, process: com.android.settings
size: 357,784K, process: com.transsion.XOSLauncher
size: 216,896K, process: com.transsion.XOSLauncher:zeroscreen
size: 215,383K, process: com.transsion.smartpanel
size: 213,024K, process: com.talpa.cleanmaster.booster.speed.filesmanager
size: 156,372K, process: com.transsion.aivoiceassistant
size: 125,637K, process: com.android.vending
size: 121,756K, process: com.transsion.smartpanel:ui
size: 120,894K, process: com.google.android.gms
size: 118,768K, process: com.transsion.audiosmartconnect
size: 117,288K, process: com.facemoji.lite.transsion
size: 110,096K, process: com.android.nfc
size: 108,993K, process: com.google.android.gms.persistent
size: 108,260K, process: com.google.android.apps.youtube.music
size: 105,164K, process: com.transsion.iotservice:iotcard
size: 102,431K, process: com.transsion.calculator
size: 101,931K, process: com.transsion.screenrecorder
size: 101,801K, process: com.transsion.kolun.aiservice
size: 101,732K, process: tech.palm.find
size: 101,016K, process: com.android.vending:instant_app_installer
size: 100,452K, process: com.transsion.magazineservice.xos
size: 100,114K, process: com.transsion.phonemaster
size: 99,364K, process: com.google.android.gms:car
size: 99,256K, process: com.google.android.documentsui
size: 99,015K, process: com.transsion.mol
size: 98,685K, process: com.google.android.setupwizard
size: 97,940K, process: com.transsion.zahooc
size: 97,711K, process: com.google.android.apps.photos
size: 97,008K, process: com.transsion.connectx.mirror.source
size: 96,424K, process: com.transsion.childmode
size: 94,924K, process: com.idea.questionnaire
size: 92,534K, process: com.transsion.iotservice
size: 92,105K, process: com.android.phone
size: 91,296K, process: com.facemoji.lite.transsion:push
size: 90,657K, process: com.hoffnung.mobile.service
size: 90,513K, process: com.transsion.kolun.assistant
size: 90,281K, process: com.hoffnung:remote
size: 89,417K, process: com.google.android.ext.services
size: 89,349K, process: com.skyroam.silverhelper
size: 88,730K, process: zygote64
size: 87,360K, process: com.transsion.notebook
size: 85,819K, process: com.transsion.plat.appupdate
size: 85,676K, process: com.facebook.appmanager
size: 84,299K, process: com.google.android.gms.unstable
size: 84,256K, process: com.transsion.tower
size: 83,806K, process: android.process.acore
size: 83,426K, process: com.transsion.tranengine
size: 83,204K, process: com.transsion.plat.appupdate.ui
size: 83,204K, process: com.android.keychain
size: 83,084K, process: tech.palm.id
size: 82,642K, process: com.google.android.as
size: 82,520K, process: tech.palm.id:cloud
size: 81,584K, process: com.transsion.aivoiceassistant.AccessibilityService
size: 80,823K, process: com.transsion.sk
size: 80,812K, process: com.google.android.configupdater
size: 80,525K, process: com.google.android.partnersetup
size: 80,423K, process: com.transsion.trancare
size: 80,373K, process: com.google.process.gservices
size: 80,116K, process: com.android.externalstorage
size: 80,084K, process: com.transsion.microintelligence
size: 79,816K, process: com.transsion.ossettingsext
size: 79,592K, process: com.transsion.filemanagerx
size: 79,064K, process: com.android.shell
size: 78,404K, process: com.transsion.batterylab
size: 78,391K, process: com.transsion.phonemanager
size: 78,176K, process: com.android.bluetooth
size: 78,108K, process: com.google.android.packageinstaller
size: 77,914K, process: com.google.android.permissioncontroller
size: 77,668K, process: android.process.media
size: 77,536K, process: com.google.android.providers.media.module
